secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,ss_flag,root,suffix
139383,02JAN2013,TBF 130622P27000,1,22JUN2013,,P,27000,0.1,0.4,0,0,0.147892,-0.152959,0.078738,4.793423,-0.747892,83464458,1,0,NA,NA
139383,02JAN2013,TBF 130622P28000,1,22JUN2013,26DEC2012,P,28000,0.3,0.6,0,16,0.143239,-0.247804,0.108911,6.421598,-0.965627,83464459,1,0,NA,NA
139383,02JAN2013,TBF 130622P29000,1,22JUN2013,31DEC2012,P,29000,0.6,0.95,0,117,0.140793,-0.37231,0.132681,7.679935,-1.128707,83464460,1,0,NA,NA
139383,02JAN2013,TBF 130622P30000,1,22JUN2013,07DEC2012,P,30000,1.1,1.45,0,2,0.143403,-0.510346,0.137595,8.093943,-1.203288,83464461,1,0,NA,NA
139383,02JAN2013,TBF 130622P31000,1,22JUN2013,,P,31000,1.75,2.1,0,0,0.148122,-0.636114,0.125851,7.617373,-1.160084,83464462,1,0,NA,NA
139383,02JAN2013,TBF 130622P32000,1,22JUN2013,,P,32000,2.5,2.9,0,0,0.15545,-0.735301,0.105131,6.635859,-1.051237,83464463,1,0,NA,NA
139383,02JAN2013,TBF 130622P33000,1,22JUN2013,,P,33000,3.3,3.8,0,0,0.162913,-0.809493,0.083981,5.507456,-0.904319,83464464,1,0,NA,NA
139383,02JAN2013,TBF 130622P34000,1,22JUN2013,,P,34000,4.3,4.6,0,0,0.170297,-0.863413,0.065492,4.423357,-0.751003,83464465,1,0,NA,NA
139383,02JAN2013,TBF 130622P35000,1,22JUN2013,,P,35000,5.2,5.6,0,0,0.182258,-0.895287,0.051354,3.668438,-0.659747,83464466,1,0,NA,NA
139383,02JAN2013,TBF 130622P36000,1,22JUN2013,,P,36000,6.2,6.5,0,0,0.188855,-0.924403,0.039786,2.871792,-0.527414,83464467,1,0,NA,NA
139383,02JAN2013,TBF 130622P37000,1,22JUN2013,,P,37000,7.2,7.5,0,0,0.209118,-0.930308,0.033798,2.690873,-0.550028,83464468,1,0,NA,NA
139383,02JAN2013,TBF 130622P38000,1,22JUN2013,,P,38000,8.1,8.5,0,0,0.205671,-0.957036,0.024865,1.826056,-0.356228,83464469,1,0,NA,NA
139383,02JAN2013,TBF 130622P40000,1,22JUN2013,,P,40000,10.1,10.5,0,0,0.239591,-0.96199,0.019386,1.646948,-0.376875,83531309,1,0,NA,NA
139383,03JAN2013,TBF 130119C20000,1,19JAN2013,,C,20000,10,10.3,0,0,NA,NA,NA,NA,NA,83602442,1,0,NA,NA
139383,03JAN2013,TBF 130119C21000,1,19JAN2013,,C,21000,9,9.3,0,0,NA,NA,NA,NA,NA,83602443,1,0,NA,NA
139383,03JAN2013,TBF 130119C22000,1,19JAN2013,,C,22000,8,8.3,0,0,NA,NA,NA,NA,NA,83602444,1,0,NA,NA
139383,03JAN2013,TBF 130119C23000,1,19JAN2013,,C,23000,7,7.3,0,0,NA,NA,NA,NA,NA,83602445,1,0,NA,NA
139383,03JAN2013,TBF 130119C24000,1,19JAN2013,,C,24000,6,6.3,0,0,NA,NA,NA,NA,NA,83602446,1,0,NA,NA
139383,03JAN2013,TBF 130119C25000,1,19JAN2013,,C,25000,5,5.3,0,0,NA,NA,NA,NA,NA,83602447,1,0,NA,NA
139383,03JAN2013,TBF 130119C26000,1,19JAN2013,,C,26000,4,4.3,0,0,NA,NA,NA,NA,NA,83602448,1,0,NA,NA
139383,03JAN2013,TBF 130119C27000,1,19JAN2013,19DEC2012,C,27000,3,3.3,0,4,NA,NA,NA,NA,NA,83602449,1,0,NA,NA
139383,03JAN2013,TBF 130119C28000,1,19JAN2013,03JAN2013,C,28000,2,2.25,4,4,NA,NA,NA,NA,NA,83602450,1,0,NA,NA
139383,03JAN2013,TBF 130119C29000,1,19JAN2013,03JAN2013,C,29000,1.15,1.25,6,33,0.176012,0.86035,0.206759,1.357201,-2.955598,83602451,1,0,NA,NA
139383,03JAN2013,TBF 130119C30000,1,19JAN2013,03JAN2013,C,30000,0.3,0.45,14,20,0.127487,0.567698,0.504958,2.400634,-3.756512,83602452,1,0,NA,NA
139383,03JAN2013,TBF 130119C31000,1,19JAN2013,,C,31000,0,0.15,0,0,0.142913,0.164445,0.283841,1.511975,-2.639703,83602453,1,0,NA,NA
139383,03JAN2013,TBF 130119C32000,1,19JAN2013,,C,32000,0,0.1,0,0,0.213939,0.084974,0.119131,0.949773,-2.478403,83602454,1,0,NA,NA
139383,03JAN2013,TBF 130119C33000,1,19JAN2013,,C,33000,0,0.1,0,0,0.292362,0.06555,0.07153,0.77832,-2.777297,83602455,1,0,NA,NA
139383,03JAN2013,TBF 130119C34000,1,19JAN2013,,C,34000,0,0.1,0,0,0.364338,0.054514,0.04968,0.674805,-2.994591,83602456,1,0,NA,NA
139383,03JAN2013,TBF 130119C35000,1,19JAN2013,,C,35000,0,0.1,0,0,0.43159,0.047287,0.037451,0.602756,-3.16722,83602457,1,0,NA,NA
139383,03JAN2013,TBF 130119C36000,1,19JAN2013,,C,36000,0,0.1,0,0,0.494996,0.042136,0.02976,0.548846,-3.310082,83602458,1,0,NA,NA
